fast_period,slow_period,sharpe_ratio,annual_return,max_drawdown,calmar_ratio,total_trades
13,28,-39.75862835053611,0.02365973088520601,-0.10206700324310414,0.23180587392041915,18
16,34,-39.76156133121409,0.010414042631556875,-0.11681468939815046,0.0891501119012671,15
18,34,-39.763987281694035,0.010619022177693616,-0.1068457647097696,0.09938645866346305,15
16,35,-39.76430536297497,0.01691532808585361,-0.10372557592774698,0.16307769741993494,15
16,55,-39.765156240672574,0.033853007509798694,-0.09513711680184542,0.3558338600938349,9
7,48,-39.76705507671339,0.030045644107201674,-0.09814054966417636,0.30614913213767186,16
16,38,-39.77097837444837,0.016381183057401216,-0.09904312300514999,0.1653944520363058,15
17,49,-39.77121876325877,0.026593090820936638,-0.09190253577183098,0.2893618831906886,11
17,35,-39.774726825747415,0.012075441576309132,-0.11202053290887735,0.10779668032941649,16
16,37,-39.77513503052397,0.017011307721404023,-0.10523802453864317,0.16164601906944298,15
12,32,-39.77611612899734,0.024113453238538973,-0.08163846682101414,0.2953687664346491,17
5,38,-39.779173852875424,0.036717519367512885,-0.11569635866203033,0.3173610629766776,18
12,31,-39.779981026018994,0.018412808851109297,-0.08955338462805165,0.20560706809222798,19
14,41,-39.784219964136994,0.01723291755169054,-0.08467765245537541,0.20351198990515448,14
12,34,-39.784357657181424,0.025661734552762105,-0.07670624473333075,0.33454557242340727,15
17,56,-39.786217802568025,0.026344554818025223,-0.10606309195337431,0.24838569508803662,9
15,53,-39.79051198652464,0.03081420986912331,-0.10069703533958078,0.3060091070726014,9
12,50,-39.7908614313579,0.026834174867751415,-0.08799698461795813,0.30494425444522777,10
16,29,-39.79221135108055,0.019755866330961602,-0.09555381786658836,0.2067511981420211,17
13,50,-39.793312258219466,0.028390091168550846,-0.08722479806102817,0.3254818790028873,10
20,37,-39.79425964771893,0.016681055307765646,-0.08879473357765316,0.18786086331547644,16
17,53,-39.79501141658612,0.027502562804415653,-0.09512215621968705,0.28912888329505254,10
14,29,-39.79864773788523,0.024840505781265065,-0.09934035869994397,0.2500545207038706,16
18,54,-39.801268019338266,0.022850839905941278,-0.09660935472475062,0.2365282323957709,10
18,56,-39.801741091197,0.02259572131952936,-0.10049092181230053,0.224853359010222,9
18,57,-39.801778897874215,0.022779619321000588,-0.10049018924781487,0.22668500767596994,9
15,54,-39.803086451983205,0.031234345392872065,-0.1006953584907182,0.3101865454478833,9
10,50,-39.80683549732565,0.02883868950802615,-0.0872005057690862,0.33071699818339667,10
17,48,-39.808584295036646,0.031840540123040384,-0.09188342077298482,0.3465319407481399,12
20,27,-39.80941413119222,0.017648952407767204,-0.1122230095150768,0.1572667894403253,22
14,31,-39.80990673557738,0.021054771119932703,-0.0882413846036969,0.2386042695781839,18
20,38,-39.81012913649639,0.00986237864952777,-0.10545547645354812,0.09352173050843908,17
17,29,-39.812257056031825,0.004482264739325004,-0.11756569065619708,0.03812561908416549,20
16,56,-39.81403054711779,0.031101507188702193,-0.09514615132547376,0.3268814004079984,9
16,45,-39.8142911324979,0.022709141396881627,-0.09826738625937409,0.2310954047046847,13
13,32,-39.816855031426435,0.02369995502380373,-0.07671221083314617,0.3089463172343267,18
18,35,-39.81821118852703,0.008073250449780467,-0.11573017058286682,0.06975925473124348,17
17,47,-39.81893069586586,0.024827066178989554,-0.0919076731842478,0.2701305050908927,12
16,36,-39.81930445656898,0.01269349316024293,-0.1048363918637639,0.12107907315942609,15
13,33,-39.826342965638226,0.018906579483624064,-0.08828362007328724,0.21415727479150798,15
11,50,-39.82768955380831,0.02833369080557091,-0.08811857641465924,0.3215404964356343,10
8,49,-39.828870148401904,0.029263227775833123,-0.09225288021917531,0.31720665746488624,13
13,42,-39.83051666492231,0.018512912467638643,-0.07332293586880682,0.2524846045548817,15
19,48,-39.83095991966022,0.019887864243717246,-0.09515283903131963,0.20900967796842235,12
20,46,-39.83408116997447,0.017671428000887168,-0.10970724074593191,0.16107804626872316,12
17,54,-39.83411580922325,0.03285721518415663,-0.08955191763582931,0.3669068854312351,10
19,46,-39.83546397623404,0.02260656589734289,-0.0919189588336122,0.24594018670581697,12
20,34,-39.836702988232524,0.00871444024976853,-0.11174842553614425,0.07798266694102016,17
6,36,-39.837111044019665,0.03295913675365192,-0.11631424029441098,0.28336286829735363,17
20,35,-39.83829935080176,0.008272789185115315,-0.10894862564966462,0.07593293752706261,17
17,55,-39.83844284093554,0.03081654620646912,-0.09514856823644015,0.3238781915235058,9
14,50,-39.83917644479653,0.025306755267151537,-0.087241039957115,0.29007856026924433,10
19,44,-39.84076112109473,0.025744393621884853,-0.09190752526861631,0.28011192279024183,13
6,37,-39.84611673781267,0.03185470695377113,-0.1160996607551549,0.2743738159661828,17
13,45,-39.84706006661982,0.018499905324431687,-0.08750538436977474,0.2114144798936709,14
17,50,-39.849314852382356,0.023850040964257246,-0.091912529920457,0.25948628532907936,10
15,42,-39.850508576140065,0.014578832718448176,-0.08632200233013466,0.16888895443704002,14
17,58,-39.85453072051391,0.025749609066649803,-0.1060655931200439,0.24277061306305686,9
17,57,-39.85453072051391,0.025749609066649803,-0.1060655931200439,0.24277061306305686,9
15,49,-39.85496266468369,0.02291281081006069,-0.09826659287677546,0.23316989161100707,10
18,48,-39.85652426544795,0.022950977692115515,-0.09513932069349072,0.2412354589545202,12
14,28,-39.85826579209969,0.01688348795894079,-0.1162664545061372,0.14521375086783594,18
14,38,-39.85866881259731,0.019237324774468156,-0.080263382490282,0.23967747405608456,14
15,39,-39.86149871721707,0.015898341666420457,-0.10049642100114925,0.15819808813130418,14
14,40,-39.86480940816639,0.016717073686800532,-0.10084488104592866,0.1657701760705824,14
18,55,-39.86574847307891,0.022128259919784732,-0.10029742733076072,0.22062639599727904,10
19,45,-39.871968182956905,0.02348863497696474,-0.09191574458499376,0.25554528316141734,12
14,52,-39.872459430381234,0.02454927435497911,-0.08648499166922505,0.2838558908448709,10
14,35,-39.872836007634966,0.01831450242411048,-0.08816434144011055,0.2077314039321827,15
19,49,-39.87434592146008,0.018766601133135552,-0.09703095434607376,0.19340839487368106,11
7,47,-39.876253578149544,0.028184817046916777,-0.11273701362755312,0.25000499960048933,15
14,51,-39.87983092458289,0.02455480996474968,-0.08724364072412304,0.2814510004505145,10
14,30,-39.881880433321165,0.02569856729943698,-0.08772257449563682,0.29295272564891706,17
18,46,-39.88232489116304,0.019370245283001353,-0.09192885472975341,0.2107090895447873,12
18,45,-39.882665681721996,0.02094270425907485,-0.09268180894402502,0.22596348191394444,12
15,38,-39.88535759657491,0.025321496065333626,-0.07678977180880071,0.32975089610087344,14
18,47,-39.888038212863485,0.02502899622622845,-0.0919082342962428,0.27232593921404097,12
15,50,-39.88852871565968,0.026321674529206085,-0.09825331503299876,0.2678960452414847,11
14,45,-39.89584086049713,0.016601222121859216,-0.09322794754196413,0.17807130329010631,13
16,39,-39.89718022313377,0.017827021288163714,-0.09821113282989506,0.18151731656573705,14
13,49,-39.89719163809867,0.023205264870207465,-0.08815926679124192,0.2632198033719668,10
16,42,-39.897539283994,0.01676282690163955,-0.09920718255053594,0.16896787581988432,14
16,47,-39.8975654106447,0.02242857914500629,-0.09826588075728528,0.22824381130215912,12
13,27,-39.90365273480704,0.02316860846702795,-0.11051356787803346,0.20964492335092844,18
10,34,-39.90536765213678,0.029369615511432023,-0.08911614291644254,0.32956560450523187,16
9,50,-39.90826619921039,0.028709705155960386,-0.08137734150094464,0.3527972851709234,10
6,39,-39.91160475218526,0.0344402806605526,-0.10499346933588334,0.32802307494359595,17
11,44,-39.91161874324022,0.031669538961720534,-0.06799214943083073,0.46578228849697345,14
20,48,-39.917549024032105,0.012531192632248,-0.10972959361172713,0.11420066565259525,12
13,29,-39.91766293677549,0.02242334862592177,-0.09461936403525027,0.23698477425369285,18
13,46,-39.918408178810694,0.018382704652597504,-0.08433384304332121,0.21797541756936828,14
13,51,-39.92157397960145,0.02543051916967798,-0.0872350320725706,0.2915172788441505,10
16,41,-39.92378804951173,0.016218353180508238,-0.09397296552212667,0.1725853078105692,14
14,39,-39.924972525358925,0.01617810779270812,-0.08914039015845675,0.18149020622357354,14
19,42,-39.92554657723289,0.015442653906050374,-0.09270202035540721,0.16658379015738053,14
15,35,-39.93282730782084,0.021568618732037415,-0.0840608779450796,0.25658331508420684,15
19,47,-39.93462732426663,0.024890115206122054,-0.09513397161745246,0.26163225168616766,12
15,40,-39.93512689975506,0.01766166271095493,-0.09316894701767944,0.1895659796133953,14
18,28,-39.93575876076565,0.008020386122220557,-0.10964190342524852,0.07315073773494532,21
8,46,-39.93819187353314,0.03160862314479651,-0.08450785057036686,0.3740317962350382,14
4,36,-39.93830660506542,0.03475731132565052,-0.12053370368167646,0.2883617632578756,18
15,43,-39.941111838799564,0.014136911176287903,-0.08819096667863369,0.16029885722652928,14
13,39,-39.94217776730377,0.01774063277211191,-0.08423875724316038,0.21059941234534688,14
